Year,EmployerType,EmployerName,DepartmentOrSubdivision,Position,ElectedOfficial,Judicial,OtherPositions,MinPositionSalary,MaxPositionSalary,ReportedBaseWage,RegularPay,OvertimePay,LumpSumPay,OtherPay,TotalWages,DefinedBenefitPlanContribution,EmployeesRetirementCostCovered,DeferredCompensationPlan,HealthDentalVision,TotalRetirementAndHealthContribution,PensionFormula,EmployerURL,EmployerPopulation,LastUpdatedDate,EmployerCounty,SpecialDistrictActivities,IncludesUnfundedLiability,SpecialDistrictType
2019,City,San Diego,Development Services,Public Info Clerk,False,False,,33613,40456,,30119,0,0,5087,35206,4754,0,1891,7760,14405,2.5% @ 55,https://www.sandiego.gov/humanresources,1430489,06/30/2020,San Diego,,False,
2019,City,San Diego,Library,Library Assistant 2,False,False,,34258,41454,,20343,3157,0,11687,35187,2309,0,705,18,3032,2.5% @ 55,https://www.sandiego.gov/humanresources,1430489,06/30/2020,San Diego,,False,
2019,City,San Diego,City Treasurer,Collections Investigator 1,False,False,,42890,51792,,27342,0,0,7843,35185,0,0,2572,11,2583,N/A,https://www.sandiego.gov/humanresources,1430489,06/30/2020,San Diego,,False,
2019,City,San Diego,Police,Police Officer 2,False,False,,76690,92664,,31633,79,0,3436,35148,861,0,2881,3032,6774,2.5@50;2.6@51;2.7@52;2.8@53;2.9@54;3@55,https://www.sandiego.gov/humanresources,1430489,06/30/2020,San Diego,,False,
2019,City,San Diego,Council District 5,Council Rep 1,False,False,,17742,111862,,28960,0,0,6169,35129,0,0,2547,0,2547,N/A,https://www.sandiego.gov/humanresources,1430489,06/30/2020,San Diego,,False,
2019,City,San Diego,Library,Library Assistant 3,False,False,,43597,52562,,25212,4247,0,5632,35091,0,0,2710,5999,8709,N/A,https://www.sandiego.gov/humanresources,1430489,06/30/2020,San Diego,,False,
2019,City,San Diego,City Attorney,Deputy City Attorney,False,False,,18990,217922,,28183,0,8157,-1268,35072,2733,0,807,4380,7920,2.5% @ 55,https://www.sandiego.gov/humanresources,1430489,06/30/2020,San Diego,,False,
2019,City,San Diego,Fire-Rescue,Program Manager,False,False,,50128,184330,,31824,0,0,3246,35070,0,0,2928,0,2928,N/A,https://www.sandiego.gov/humanresources,1430489,06/30/2020,San Diego,,False,
2019,City,San Diego,Parks & Recreation,Light Equipment Operator,False,False,,37024,44138,,20022,0,13852,1195,35069,0,0,2032,3511,5543,2.5% @ 55,https://www.sandiego.gov/humanresources,1430489,06/30/2020,San Diego,,False,
2019,City,San Diego,Transportation & Storm Water,Laborer,False,False,,31138,37086,,20129,6128,1312,7442,35011,0,0,2568,11,2579,N/A,https://www.sandiego.gov/humanresources,1430489,06/30/2020,San Diego,,False,
2019,City,San Diego,Library,Library Assistant 2,False,False,,34258,41454,,20650,2730,0,11629,35009,0,0,2151,18,2169,N/A,https://www.sandiego.gov/humanresources,1430489,06/30/2020,San Diego,,False,
2019,City,San Diego,Transportation & Storm Water,Senior Clerk/Typist,False,False,,38480,46426,,41527,0,1,-6526,35002,0,0,3222,11705,14927,N/A,https://www.sandiego.gov/humanresources,1430489,06/30/2020,San Diego,,False,
2019,City,San Diego,Public Utilities,Cust Services Rep,False,False,,35173,42474,,35919,1194,5,-2161,34957,0,0,3225,11705,14930,N/A,https://www.sandiego.gov/humanresources,1430489,06/30/2020,San Diego,,False,
2019,City,San Diego,Economic Development,Clerical Assistant 2,False,False,,31928,38480,,23236,122,1,11571,34930,0,0,2059,9339,11398,N/A,https://www.sandiego.gov/humanresources,1430489,06/30/2020,San Diego,,False,
2019,City,San Diego,Public Utilities,Clerical Assistant 2,False,False,,31928,38480,,30280,0,0,4585,34865,3858,0,2251,7170,13279,2.5% @ 55,https://www.sandiego.gov/humanresources,1430489,06/30/2020,San Diego,,False,
2019,City,San Diego,Library,Library Assistant 2,False,False,,34258,41454,,18295,3450,1488,11631,34864,0,0,2231,1033,3264,N/A,https://www.sandiego.gov/humanresources,1430489,06/30/2020,San Diego,,False,
2019,City,San Diego,Parks & Recreation,Golf Starter,False,False,,31928,38480,,19094,6548,37,9182,34861,1800,0,1554,2523,5877,2.5% @ 55,https://www.sandiego.gov/humanresources,1430489,06/30/2020,San Diego,,False,
2019,City,San Diego,Transportation & Storm Water,Dispatcher 1,False,False,,38147,45968,,25319,5310,0,4217,34846,0,0,2514,398,2912,N/A,https://www.sandiego.gov/humanresources,1430489,06/30/2020,San Diego,,False,
2019,City,San Diego,Public Utilities,Water Sys Tech 3,False,False,,44242,52832,,0,0,0,34826,34826,0,0,0,7600,7600,2.5% @ 55,https://www.sandiego.gov/humanresources,1430489,06/30/2020,San Diego,,False,
2019,City,San Diego,Police,Police Officer 1,False,False,,60112,72550,,31110,91,0,3611,34812,638,0,2881,4314,7833,2.5@50;2.6@51;2.7@52;2.8@53;2.9@54;3@55,https://www.sandiego.gov/humanresources,1430489,06/30/2020,San Diego,,False,
2019,City,San Diego,Police,Police Officer 1,False,False,,60112,72550,,31110,80,0,3606,34796,898,0,2881,4314,8093,2.5@50;2.6@51;2.7@52;2.8@53;2.9@54;3@55,https://www.sandiego.gov/humanresources,1430489,06/30/2020,San Diego,,False,
2019,City,San Diego,Parks & Recreation,Grounds Maintenance Worker 2,False,False,,33883,40310,,30463,0,0,4281,34744,4788,0,2304,6700,13792,2.5% @ 55,https://www.sandiego.gov/humanresources,1430489,06/30/2020,San Diego,,False,
2019,City,San Diego,Public Utilities,Field Rep,False,False,,34486,41538,,35038,1774,439,-2509,34742,0,0,2768,7316,10084,N/A,https://www.sandiego.gov/humanresources,1430489,06/30/2020,San Diego,,False,
